"Note: This sheet takes a couple seconds to filter because it is MASSIVE, 
so please be patient and don't change too many settings too quickly",,,,,CR,,Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Size,Type,Tag,Alignment,low | high,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Source,Page,Other Printings,,Name,Size,Type,Tag,Alignment,CR,[PH],Spellcaster,Legendary,Lair,Unique,Familiar,Template,Arctic,Coastal,Desert,Forest,Grassland,Hill,Mountain,Swamp,Underdark,Underwater,Urban,Other Plane,Source,Page,Reprint,Size,Type,Alignment,CR,Source,Owned,Core,Official,Charity,Third Party
,Any,Any,,Any,-,-,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Core,Official,Charity,Third Party
"""The Demogorgon""",Large,Giant,,Chaotic Neutral,8,,,,,x,,,,,,,,,,,,,,,Infernal Machine Rebuild,53,,,Omin Dran,Medium,Humanoid,Half-elf,Lawful Neutral,5,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,196,,Any,Any,Any,-,All,#REF!,#REF!,#REF!,#REF!,#REF!
A-mi-kuk,Huge,Aberration,,Chaotic Evil,7,,,,,,,,x,,,,,,,,,x,,,Tome of Beasts 2,15,,,Jim Darkmagic,Medium,Humanoid,Human,Chaotic Neutral,5,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,197,,Gargantuan,Aberration,Any,0,Owned,,,,,
Aalpamac,Huge,Monstrosity,,Unaligned,7,,,,,,,,,x,,,,,,,,x,,,Tome of Beasts 2,8,,,Viari,Medium,Humanoid,Human,Chaotic Good,5,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,198,,Huge,Beast,Any ,1/8,Core,,,,,
Aarakocra,Medium,Humanoid,Aarakocra,Neutral Good,1/4,,,,,,,,,,,,,,x,,,,,,Monster Manual,12,,,Môrgæn,Medium,Humanoid,Elf,Chaotic Neutral,4,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,199,,Large,Celestial,Any Chaotic,1/4,Official,,,,,
Aartuk Elder,Large,Plant,,Lawful Evil,3,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,8,,,Flabbergast,Medium,Humanoid,Human,Lawful Neutral,4,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,200,,Medium,Construct,Any Chaotic or Evil,1/2,Charity,,,,,
Aartuk Priest,Medium,Plant,,Lawful Evil,2,,x,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,9,,,Donaar Blit'zen,Medium,Humanoid,Dragonborn,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,201,,Small,Dragon,Any Evil,1,Playtest,,,,,
Aartuk Warrior,Medium,Plant,,Lawful Evil,2,,,,,,,,,,,,,,,,,,,,Boo's Astral Menagerie,9,,,K'thriss Drow'b,Medium,Humanoid,Elf,Chaotic Neutral,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,202,,Small or Medium,Elemental,Any Good,2,Third Party,,,,,
Aatxe,Large,Celestial,Shapechanger,Lawful Good,5,,,x,x,,,,,,,,x,,,,,,x,,Creature Codex,7,,,Rosie Beestinger,Small,Humanoid,Halfling,Chaotic Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,203,,Tiny,Fey,Any Lawful,3,,,,,,
Aaztar-ghola,Medium,Humanoid,,Chaotic Evil,4,,,,,,,,x,x,x,x,x,x,x,x,x,,x,,Fifth Edition Foes,5,,,Walnut Dankgrass,Medium,Humanoid,Elf,Lawful Good,3,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,204,,,Fiend,Any Neutral,4,,,,,,
Abbanith Giant,Large,Giant,,Neutral,3,,,,,,,,,,,,,,x,,x,,,,Tome of Beasts 2,170,,,Brahma Lutter,Medium,Humanoid,Elf,Neutral,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,205,,,Giant,Any Non-Evil,5,,,,,,
Aberrant Zealot,Medium,Aberration,,Chaotic Evil,8,,x,,,,,,,,,,,,,,,,,,Phandelver and Below: The Shattered Obelisk,203,,,Oak Truestrike,Medium,Humanoid,Elf,Neutral,2,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,205,,,Humanoid,Any Non-Good,6,,,,,,
Abhorrent Overlord,Large,Fiend,,Lawful Evil,9,,x,,,,,,,,,,,,,,,,,x,Mythic Odysseys of Theros,219,,,Pendragon Beestinger,Medium,Humanoid,Human,Neutral Evil,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,206,,,Monstrosity,Any Non-Lawful,7,,,,,,
Abjurer,Medium,Humanoid,Any Race,Any,9,,x,,,,,,,,,,,,,,,,x,,Volo's Guide to Monsters,209,,,Phoenix Anvil,Medium,Humanoid,Human,Lawful Neutral,2,,x,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,206,,,Ooze,Chaotic Evil,8,,,,,,
Abjurer Wizard,Medium,Humanoid,,Any,9,,x,,,,,,,,,,,,,,,,x,,Mordenkainen Presents: Monsters of the Multiverse,260,,,Portentia Dran,Medium,Monstrosity,Shapechanger,Lawful Evil,3,,,,,x,,,,,,,,,,,,,ø,,Acquisitions Incorporated,208,,,Plant,Chaotic Good,9,,,,,,
